# Source: NUDEC_BSM repo, https://doi.org/10.1088/1475-7516/2020/05/048
# T (MeV)           dP_int/dT (e^2)      dP_int/dT (e^3)      
2.938895E+01        -1.616383E+02        1.439852E+01        
2.936255E+01        -1.612030E+02        1.435975E+01        
2.933617E+01        -1.607689E+02        1.432109E+01        
2.930982E+01        -1.603359E+02        1.428253E+01        
2.928349E+01        -1.599041E+02        1.424407E+01        
2.925718E+01        -1.594735E+02        1.420572E+01        
2.923090E+01        -1.590440E+02        1.416747E+01        
2.920464E+01        -1.586157E+02        1.412932E+01        
2.917840E+01        -1.581885E+02        1.409128E+01        
2.915219E+01        -1.577625E+02        1.405333E+01        
2.912600E+01        -1.573377E+02        1.401550E+01        
2.909984E+01        -1.569140E+02        1.397776E+01        
2.907370E+01        -1.564914E+02        1.394012E+01        
2.904758E+01        -1.560699E+02        1.390259E+01        
2.902149E+01        -1.556496E+02        1.386515E+01        
2.899542E+01        -1.552305E+02        1.382782E+01        
2.896937E+01        -1.548124E+02        1.379059E+01        
2.894335E+01        -1.543955E+02        1.375345E+01        
2.891735E+01        -1.539797E+02        1.371642E+01        
2.889137E+01        -1.535650E+02        1.367949E+01        
2.886542E+01        -1.531515E+02        1.364265E+01        
2.883949E+01        -1.527390E+02        1.360592E+01        
2.881358E+01        -1.523277E+02        1.356929E+01        
2.878770E+01        -1.519175E+02        1.353275E+01        
2.876183E+01        -1.515084E+02        1.349631E+01        
2.873600E+01        -1.511003E+02        1.345997E+01        
2.871018E+01        -1.506934E+02        1.342373E+01        
2.868439E+01        -1.502876E+02        1.338758E+01        
2.865863E+01        -1.498829E+02        1.335154E+01        
2.863288E+01        -1.494792E+02        1.331559E+01        
2.860716E+01        -1.490767E+02        1.327973E+01        
2.858146E+01        -1.486752E+02        1.324398E+01        
2.855579E+01        -1.482748E+02        1.320832E+01        
2.853013E+01        -1.478755E+02        1.317275E+01        
2.850450E+01        -1.474772E+02        1.313728E+01        
2.847890E+01        -1.470801E+02        1.310191E+01        
2.845332E+01        -1.466840E+02        1.306663E+01        
2.842776E+01        -1.462890E+02        1.303145E+01        
2.840222E+01        -1.458950E+02        1.299636E+01        
2.837670E+01        -1.455021E+02        1.296137E+01        
2.835121E+01        -1.451102E+02        1.292647E+01        
2.832574E+01        -1.447194E+02        1.289166E+01        
2.830030E+01        -1.443297E+02        1.285695E+01        
2.827488E+01        -1.439410E+02        1.282233E+01        
2.824948E+01        -1.435534E+02        1.278780E+01        
2.822410E+01        -1.431668E+02        1.275337E+01        
2.819875E+01        -1.427812E+02        1.271903E+01        
2.817341E+01        -1.423967E+02        1.268478E+01        
2.814811E+01        -1.420132E+02        1.265063E+01        
2.812282E+01        -1.416308E+02        1.261657E+01        
2.809756E+01        -1.412493E+02        1.258260E+01        
2.807232E+01        -1.408689E+02        1.254872E+01        
2.804710E+01        -1.404896E+02        1.251493E+01        
2.802190E+01        -1.401112E+02        1.248123E+01        
2.799673E+01        -1.397339E+02        1.244762E+01        
2.797158E+01        -1.393576E+02        1.241411E+01        
2.794645E+01        -1.389823E+02        1.238068E+01        
2.792135E+01        -1.386080E+02        1.234734E+01        
2.789627E+01        -1.382347E+02        1.231410E+01        
2.787121E+01        -1.378624E+02        1.228094E+01        
2.784617E+01        -1.374911E+02        1.224787E+01        
2.782116E+01        -1.371209E+02        1.221489E+01        
2.779616E+01        -1.367516E+02        1.218200E+01        
2.777119E+01        -1.363833E+02        1.214920E+01        
2.774625E+01        -1.360160E+02        1.211649E+01        
2.772132E+01        -1.356497E+02        1.208387E+01        
2.769642E+01        -1.352844E+02        1.205133E+01        
2.767154E+01        -1.349201E+02        1.201888E+01        
2.764668E+01        -1.345567E+02        1.198652E+01        
2.762184E+01        -1.341943E+02        1.195424E+01        
2.759703E+01        -1.338329E+02        1.192205E+01        
2.757224E+01        -1.334725E+02        1.188995E+01        
2.754747E+01        -1.331131E+02        1.185794E+01        
2.752273E+01        -1.327546E+02        1.182601E+01        
2.749800E+01        -1.323971E+02        1.179417E+01        
2.747330E+01        -1.320405E+02        1.176241E+01        
2.744862E+01        -1.316849E+02        1.173074E+01        
2.742396E+01        -1.313303E+02        1.169915E+01        
2.739933E+01        -1.309766E+02        1.166765E+01        
2.737471E+01        -1.306238E+02        1.163623E+01        
2.735012E+01        -1.302721E+02        1.160490E+01        
2.732555E+01        -1.299212E+02        1.157366E+01        
2.730101E+01        -1.295713E+02        1.154249E+01        
2.727648E+01        -1.292224E+02        1.151141E+01        
2.725198E+01        -1.288744E+02        1.148042E+01        
2.722750E+01        -1.285273E+02        1.144951E+01        
2.720304E+01        -1.281812E+02        1.141868E+01        
2.717860E+01        -1.278359E+02        1.138793E+01        
2.715419E+01        -1.274917E+02        1.135727E+01        
2.712979E+01        -1.271483E+02        1.132669E+01        
2.710542E+01        -1.268059E+02        1.129619E+01        
2.708107E+01        -1.264644E+02        1.126577E+01        
2.705675E+01        -1.261238E+02        1.123544E+01        
2.703244E+01        -1.257841E+02        1.120519E+01        
2.700816E+01        -1.254454E+02        1.117501E+01        
2.698390E+01        -1.251076E+02        1.114492E+01        
2.695966E+01        -1.247706E+02        1.111492E+01        
2.693544E+01        -1.244346E+02        1.108499E+01        
2.691124E+01        -1.240995E+02        1.105514E+01        
2.688707E+01        -1.237653E+02        1.102537E+01        
2.686291E+01        -1.234320E+02        1.099569E+01        
2.683878E+01        -1.230995E+02        1.096608E+01        
2.681467E+01        -1.227680E+02        1.093655E+01        
