# BBN prediction of the primordial abundances (Helium-4 and Deuterium) as a function of
# 1)the baryon density $\Omega_b h^2$ 
# 2)the number of extra relativistic degrees of freedom $\Delta N$
# 
# If $\Delta N=0$, $N_{eff} = 3.0440$ because of QED effects and incomplete neurino decoupling (see, e.g., arXiv:2001.04466).
#
# Computation performed with PRyMordial, see arXiv:2307.07061. 
# Latest version of the code at the GitHub repo: https://github.com/vallima/PRyMordial
# Details on the ab-initio computation of neutron freeze out implemented in PRyMordial can be found in arXiv:1801.08023.
# Thermonuclear rates adopted comprise the most recent measurement from LUNA and mainly rely on the NACRE II compilation.
#
# Neutron Decay rate $\tau_n$ follows what recommended in the Particle Data Group 2023.
# CMB temperature is 2.7255 K (without taking into account a possible uncertainty).
#
# He4 is given either as $Y^BBN_P = 4 Y_{He4}$ where $Y_{He4}$ is the ratio of He-4 number density to baryons number density.
# He4 is also provided as $Y_P = Y_{He4} * m_ {He4} /[Y_{He4} m_{He4} + (1 - 4*Y_{He4}) m_H1]$ 
# where $m_{He4}=4.0026032541$ and $m_{H1}=1.00782503223$ are atomic masses. 
#
# Deuterium is given as the ratio of its number density to the H1 number density and noted $D/H$.
# 
# eta10 is $10^10 eta_0$ where $eta_0$ is the density ratio between baryons and photons at the end of BBN, and does not include
# any extra production of He4 by stars after BBN. 
#
# Errors are computed with a Monte Carlo approach where both nuclear rates and neutron life time uncertainties are accounted for.
# For more details, see the Jupiter notebook: https://github.com/vallima/PRyMordial/blob/main/PRyMdemoSM.ipynb
# 
#         ombh2                   eta10                     DeltaN                    Yp                      Yp^BBN                  sig(Yp^BBN)              D/H                      sig(D/H)  
2.179999999999999993e-02 5.967715240973520352e+00 -2.500000000000000000e+00 2.032152499889699759e-01 2.043744464030471386e-01 1.355803145661032812e-04 1.720630716229391223e-05 6.934210725420431661e-07
2.199999999999999872e-02 6.022464922083368144e+00 -2.500000000000000000e+00 2.033019047673903512e-01 2.044614686356943933e-01 1.389696144931912931e-04 1.695086876063232022e-05 6.839040176484360039e-07
2.220000000000000098e-02 6.077214603193218601e+00 -2.500000000000000000e+00 2.033785331068438396e-01 2.045384218412870381e-01 1.325131040016543581e-04 1.671636914031050282e-05 6.649984181083800536e-07
2.239999999999999977e-02 6.131964284303066393e+00 -2.500000000000000000e+00 2.034659154909560230e-01 2.046261745690326761e-01 1.309333476972385289e-04 1.643915203175536899e-05 6.702955049219806025e-07
2.259999999999999856e-02 6.186713965412915073e+00 -2.500000000000000000e+00 2.035518695920574272e-01 2.047124928416918510e-01 1.355130829734369066e-04 1.614716660845701764e-05 6.158429239922284263e-07
2.280000000000000082e-02 6.241463646522764641e+00 -2.500000000000000000e+00 2.036474061830190752e-01 2.048084340958344352e-01 1.316367393330567426e-04 1.588397565097884764e-05 6.143658023333229563e-07
2.299999999999999961e-02 6.296213327632613321e+00 -2.500000000000000000e+00 2.037269949297686455e-01 2.048883598494210534e-01 1.315817878058964184e-04 1.564273150280831877e-05 6.424552059970562668e-07
2.319999999999999840e-02 6.350963008742461113e+00 -2.500000000000000000e+00 2.038037628887923447e-01 2.049654527787358738e-01 1.347109176106450637e-04 1.543313952820828870e-05 6.042803969121345388e-07
2.340000000000000066e-02 6.405712689852311570e+00 -2.500000000000000000e+00 2.038800569224766823e-01 2.050420696828372802e-01 1.426141179542136440e-04 1.522737978394677545e-05 6.219868939103779144e-07
2.359999999999999945e-02 6.460462370962159362e+00 -2.500000000000000000e+00 2.039642267335493031e-01 2.051265956133818125e-01 1.429869218831751338e-04 1.500465439308266760e-05 6.603986161207798240e-07
2.380000000000000171e-02 6.515212052072008930e+00 -2.500000000000000000e+00 2.040433814878056806e-01 2.052060851949282505e-01 1.335654502356597485e-04 1.475189307502545814e-05 5.947240281689174490e-07
2.400000000000000050e-02 6.569961733181856722e+00 -2.500000000000000000e+00 2.041230189981030896e-01 2.052860594616242873e-01 1.353196805975607413e-04 1.456814205711663803e-05 5.824114592111201932e-07
2.500000000000000139e-02 6.843710138731101900e+00 -2.500000000000000000e+00 2.045170931942493775e-01 2.056817987195332376e-01 1.358297266035326752e-04 1.347481751952492565e-05 5.438071257214652863e-07
2.599999999999999881e-02 7.117458544280344412e+00 -2.500000000000000000e+00 2.048743484499157552e-01 2.060405615453245187e-01 1.324854422229754182e-04 1.255459784049991275e-05 5.223018100559792028e-07
